BAG:dragonball remove Rada cấp 1 lydo: Mặc vào người at 01/29/2023 10:49 PM
BAG:dragonball remove Cải trang Chill cấp 2 lydo: Mặc vào người at 01/29/2023 10:51 PM
BAG:dragonball remove Rada cấp 1 lydo: Mặc vào người at 01/29/2023 10:52 PM
BAG:dragonball remove Thỏi vàng lydo: Cất vào rương at 01/29/2023 10:53 PM
BAG:dragonball remove Đậu thần cấp 1 lydo: Tự Xóa vật phẩm at 01/29/2023 10:54 PM
BAG:dragonball remove 1xMảnh Khủng long lydo: Dùng thẻ sưu tầm at 01/29/2023 10:54 PM
BAG:dragonball remove Mảnh Phi long lydo: Tự Xóa vật phẩm at 01/29/2023 10:54 PM
BAG:dragonball remove Mảnh Quỷ đất lydo: Tự Xóa vật phẩm at 01/29/2023 10:54 PM
BAG:dragonball remove Mảnh Lợn lòi mẹ lydo: Tự Xóa vật phẩm at 01/29/2023 10:54 PM
BAG:dragonball remove Mảnh Lợn lòi lydo: Tự Xóa vật phẩm at 01/29/2023 10:54 PM
BAG:dragonball remove Găng sợi len lydo: Tự Xóa vật phẩm at 01/29/2023 11:03 PM
BAG:dragonball remove Găng sợi len lydo: Mặc cho đệ tử at 01/29/2023 11:09 PM
BAG:dragonball remove Găng sợi len lydo: Tự Xóa vật phẩm at 01/29/2023 11:38 PM
BAG:dragonball remove Găng sợi len lydo: Tự Xóa vật phẩm at 01/29/2023 11:40 PM
BAG:dragonball remove Găng sợi len lydo: Tự Xóa vật phẩm at 01/29/2023 11:49 PM
